"price","latitude","longitude","accommodates","bathrooms","bedrooms","minimum_nights","number_of_reviews","review_scores_rating","review_scores_location","review_scores_value"
40,51.56802,-0.11121,2,1,1,1,21,97,9,9
75,51.48796,-0.16898,2,1,1,10,89,96,10,9
307,51.52195,-0.14094,6,2,3,4,42,94,10,9
29,51.57224,-0.20906,2,1.5,1,10,129,96,9,10
65,51.46507,-0.32421,2,1,1,1,6,90,10,8
195,51.47934,-0.28066,5,1.5,3,3,79,96,10,9
72,51.58461,-0.1617,2,0,1,2,528,97,10,10
80,51.53972,-0.05885,2,1,1,6,52,97,10,10
70,51.46871,-0.06455,2,1,1,2,55,96,9,10
58,51.50687,-0.23328,2,1,1,2,366,95,9,10
200,51.50819,-0.23284,10,2,5,6,36,97,10,9
42,51.47871,-0.06063,2,1,1,1,6,100,10,10
42,51.52589,-0.19942,2,1,1,5,10,90,9,9
25,51.57375,-0.2089,2,1.5,1,10,84,98,9,10
180,51.61648,-0.25788,4,1,2,4,21,91,9,9
42,51.49157,-0.256,4,1,1,1,71,90,10,9
37,51.55842,0.00382,2,2.5,1,2,2,90,8,8
50,51.49441,-0.20479,3,1.5,1,3,167,96,10,10
38,51.48172,-0.20957,2,1,1,2,197,94,9,10
100,51.53033,-0.21734,2,1,1,5,108,97,9,10
65,51.47511,-0.19263,2,2,1,3,35,97,10,9
55,51.47612,-0.19183,2,1,1,1,11,93,9,10
125,51.51737,-0.19576,4,1,1,3,102,96,10,9
25,51.5297,-0.14384,1,1,1,2,373,96,10,10
78,51.49506,-0.2275,2,1,1,2,66,95,10,9
50,51.49527,-0.22938,2,1,1,1,86,94,10,9
121,51.51757,-0.19195,3,1,1,2,121,93,10,9
40,51.54811,-0.19563,2,1,1,2,54,99,9,10
56,51.37438,-0.1177,4,2,2,14,2,100,10,10
45,51.49355,-0.22864,2,1.5,1,5,41,94,10,10
43,51.52126,-0.05696,2,1.5,1,2,100,92,9,9
131,51.49946,-0.01934,3,1,1,4,12,77,9,8
57,51.49402,-0.22724,2,1,1,3,26,89,10,9
45,51.52053,-0.20968,2,1,1,1,451,88,10,9
75,51.48624,-0.09624,2,1,1,6,187,95,9,10
35,51.49404,-0.22738,2,1,1,1,55,93,10,10
76,51.54117,-0.05867,2,1,1,7,36,98,10,10
25,51.60202,-0.26139,1,1,1,5,29,91,9,9
36,51.59016,-0.09427,1,1,1,3,11,89,9,9
80,51.59583,-0.14223,4,1,2,1,56,99,10,10
48,51.48064,-0.11439,2,1,1,2,157,96,10,10
35,51.44611,-0.14224,2,1,1,5,12,96,9,10
52,51.46193,-0.11085,6,2,2,3,65,98,10,9
45,51.49384,-0.22789,2,1.5,1,1,66,91,9,9
414,51.49389,-0.20418,10,2.5,4,2,128,96,9,9
200,51.52423,-0.18481,3,1,2,1,35,92,10,9
42,51.57157,0.01088,2,1,1,1,2,100,10,10
34,51.46452,-0.0797,1,1,1,3,56,97,10,10
