Id,Label,timeset,posteos_realizados,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree
0,alzamer,,498,4,0.577778,0.682158,0.097262,58,65,123
1,ugo38,,523,4,0.534247,0.607372,0.071768,46,41,87
2,chewbaca,,439,3,0.563177,0.650641,0.068352,44,54,98
3,Fignolio,,23,4,0.408377,0.441774,0.002827,9,7,16
4,PELADOMERVAL,,4,0,0,0,0,0,0,0
5,Nebur2018,,11,5,0.370546,0.399786,0.000023,5,3,8
6,davinci,,102,4,0.47561,0.533654,0.01569,17,23,40
7,Martinm,,3,5,0.379562,0.407265,0,2,2,4
8,indomable66,,38,4,0.445714,0.493056,0.005265,18,15,33
9,DAX,,47,4,0.429752,0.463141,0.00273,15,8,23
10,timbero,,99,4,0.481481,0.542201,0.009574,15,26,41
11,hernan1974,,54,4,0.38806,0.424679,0.008664,14,7,21
12,Crimsonking,,57,4,0.443182,0.48344,0.001652,11,12,23
13,guille1978,,6,5,0.375,0.407265,0,3,3,6
14,JotaB,,5,5,0.374101,0.406197,0,2,3,5
15,ipiranga,,1,0,0,0,0,1,0,1
16,rojo,,65,4,0.396947,0.428953,0.002976,13,5,18
17,empome,,19,5,0.367059,0.393376,0.000286,10,1,11
18,wal772,,126,4,0.527027,0.598825,0.030661,15,38,53
19,danyf,,49,4,0.445714,0.484509,0.001398,10,12,22
20,Yops,,93,4,0.465672,0.516026,0.007728,15,19,34
21,Inca,,0,0,0,0,0,3,0,3
22,Ivar79,,4,5,0.353741,0.381624,0.002538,3,4,7
23,Lanreb,,18,5,0.323651,0.346795,0.001667,5,4,9
24,Coreiendoenchanclas,,10,4,0.403101,0.438568,0.000056,2,6,8
25,ArmonicoEnFuga,,23,4,0.435754,0.475427,0.009725,9,10,19
26,pira&#241;a,,5,5,0.349776,0.369872,0.001767,2,2,4
27,resero,,60,4,0.45481,0.498397,0.00812,10,14,24
28,ardilla1,,25,4,0.407311,0.442308,0.00233,8,7,15
29,fabio,,60,4,0.416,0.464209,0.00971,14,13,27
30,pds1984,,4,0,0,0,0,1,0,1
31,Bochaterow,,13,4,0.371429,0.398504,0.000081,5,4,9
32,Einlazer84,,36,4,0.429752,0.463141,0.006676,10,7,17
33,Tecnicalpro,,19,5,0.384236,0.417415,0.00291,8,4,12
34,sebara,,17,4,0.4,0.426282,0.000713,4,2,6
35,easydoro,,6,5,0.323711,0.341932,0,0,1,1
36,lucky467,,6,0,0,0,0,2,0,2
37,Gustavo,,19,4,0.395939,0.431624,0.003551,10,6,16
38,RusoLocoSuelto,,67,4,0.45481,0.505876,0.010797,11,17,28
39,Chele,,5,5,0.360277,0.388568,0.001498,4,4,8
40,Namber_1,,4,5,0.295455,0.313248,0.000019,1,1,2
41,Hombrepobre,,2,5,0.29434,0.311645,0,1,1,2
42,mabo1781,,4,5,0.283122,0.301816,0.006624,3,3,6
43,fredflaming,,2,5,0.295113,0.312845,0,0,1,1
44,blackbird,,1,5,0.323711,0.341932,0,0,1,1
45,El..Ronin,,9,5,0.348993,0.368803,0,2,1,3
46,murddock,,2,5,0.368545,0.39724,0,0,2,2
47,Amon-Ra,,1,6,0.220963,0.230983,0,1,1,2
48,enterob,,2,4,0.367059,0.392094,0.002452,2,2,4
49,IQZeta,,1,0,0,0,0,0,0,0
50,JulianJobs,,10,4,0.392947,0.430556,0.002168,1,7,8
51,javi,,2,5,0.367925,0.394444,0,2,1,3
52,PERZEN,,10,5,0.340611,0.364423,0.000124,4,4,8
53,Apopoi,,6,0,0,0,0,4,0,4
54,green arrow,,40,4,0.427397,0.469017,0.005783,8,10,18
55,rusell007,,11,5,0.304854,0.324416,0,0,2,2
56,Lear75,,11,5,0.383292,0.419551,0.001512,7,6,13
57,Dagua,,14,4,0.382353,0.417201,0.002704,6,7,13
58,Glorioso89,,2,5,0.345898,0.365598,0,1,1,2
59,isidoro999,,2,5,0.280859,0.29586,0,0,1,1
60,Matu84,,89,4,0.467066,0.517628,0.012065,10,20,30
61,patricio028,,3,5,0.328421,0.343697,0.000648,3,1,4
62,lehmanbrothers,,187,4,0.4875,0.536859,0.021264,23,21,44
63,plussoro,,1,5,0.322981,0.340919,0,1,1,2
64,infotrading,,2,5,0.304094,0.31859,0,1,1,2
65,mr18,,7,5,0.345898,0.365598,0,1,1,2
66,SODAS,,1,5,0.367681,0.394055,0,0,1,1
67,percanta,,21,5,0.367059,0.393376,0.000139,6,1,7
68,gago,,4,0,0,0,0,3,0,3
69,valentirosarino,,13,0,0,0,0,3,0,3
70,Garamond,,24,4,0.412698,0.451389,0.001913,7,9,16
71,Lann,,11,0,0,0,0,0,0,0
72,lestat,,7,5,0.373206,0.405128,0.000073,3,3,6
73,Maguarnier,,1,5,0.304094,0.31859,0,1,1,2
74,09ezemarq,,16,5,0.367059,0.402991,0.005268,7,7,14
75,lechuga9,,3,4,0.36534,0.390491,0.000054,1,2,3
76,latino curtido,,5,5,0.335484,0.362607,0.000352,4,5,9
77,Matraca,,116,4,0.452174,0.507479,0.019972,20,19,39
78,Tomas,,1,0,0,0,0,0,0,0
79,Lucky,,31,4,0.379562,0.415064,0.002306,10,6,16
80,Diego64,,5,5,0.330544,0.34884,0,0,2,2
81,carlos_2681,,7,5,0.367059,0.393376,0,1,1,2
82,tonga73,,3,5,0.267581,0.278953,0.001981,1,1,2
83,jose enrique,,2,4,0.362791,0.38515,0.002103,1,2,3
84,Abujose,,2,5,0.345898,0.365598,0,2,1,3
85,AM1973,,2,0,0,0,0,1,0,1
86,adriancito,,14,4,0.361949,0.387286,0.000729,9,4,13
87,Raul,,5,4,0.368794,0.396902,0.00609,3,4,7
