Id,Label,timeset,posteos_realizados,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree
0,miguel angel,,47,0,0,0,0,13,0,13
1,esponja,,620,5,0.47619,0.590926,0.06335,34,27,61
2,Roy,,105,5,0.434783,0.505741,0.011612,15,13,28
3,gonza_inv,,357,5,0.486486,0.587222,0.043831,27,24,51
4,paisano,,131,5,0.471204,0.551667,0.021383,21,18,39
5,Sir,,24,5,0.45,0.526296,0.063734,9,17,26
6,esanpi,,814,4,0.542169,0.639815,0.095235,34,31,65
7,Citizen,,21,5,0.424528,0.466111,0.005778,4,7,11
8,valiant,,10,5,0.364372,0.404074,0.003039,5,5,10
9,pepelui,,1,0,0,0,0,0,0,0
10,09ezemarq,,122,4,0.523256,0.613889,0.04915,21,27,48
11,Matu84,,94,4,0.486486,0.552778,0.01461,20,17,37
12,Harry Forever,,69,5,0.459184,0.527222,0.019603,18,15,33
13,elushi,,440,4,0.552147,0.641667,0.062007,29,30,59
14,motomoto,,281,4,0.542169,0.632407,0.045198,28,29,57
15,flipperjeeper,,30,5,0.391304,0.440926,0.000144,6,6,12
16,CarlosLR,,33,4,0.456853,0.519444,0.016587,5,13,18
17,ohm,,62,5,0.441176,0.515,0.003935,13,14,27
18,lanister31,,11,0,0,0,0,1,0,1
19,Coreiendoenchanclas,,1,0,0,0,0,0,0,0
20,Hub,,7,6,0.323741,0.359259,0,1,1,2
21,Exequiel,,179,5,0.46875,0.559444,0.01197,17,19,36
22,Piripisimo,,2,6,0.328467,0.360185,0,1,1,2
23,El..Ronin,,204,4,0.494505,0.558333,0.055627,29,17,46
24,rusell007,,10,5,0.354331,0.382593,0.000087,1,1,2
25,Pablo,,35,5,0.410959,0.479815,0.018436,13,12,25
26,DavidBowman,,3,6,0.29703,0.328704,0.000337,1,2,3
27,mmartins41,,14,5,0.396476,0.439074,0.000089,4,4,8
28,novatex,,2,0,0,0,0,1,0,1
29,infotrading,,1,0,0,0,0,0,0,0
30,isidoro999,,4,6,0.343511,0.377778,0,2,1,3
31,MercadoBurs&#225;til,,142,5,0.520231,0.636852,0.064494,29,32,61
32,mr_osiris,,38,3,0.481283,0.546296,0.068425,14,17,31
33,javi,,2,6,0.243243,0.258889,0,1,1,2
34,Hombrepobre,,3,5,0.320285,0.349444,0.012504,2,2,4
35,Matraca,,6,4,0.330882,0.357407,0.01208,2,2,4
36,Athila,,1,0,0,0,0,0,0,0
37,dad1972,,1,6,0.312715,0.338645,0,0,1,1
38,empome,,1,0,0,0,0,1,0,1
39,Dilape2006,,21,5,0.403587,0.465926,0.00265,9,10,19
40,satoonce,,7,0,0,0,0,2,0,2
41,alejandro,,1,0,0,0,0,0,0,0
42,murddock,,10,5,0.396476,0.443704,0.000043,3,5,8
43,Merlin,,5,5,0.350195,0.381667,0.00006,2,3,5
44,El Calificador,,1,4,0.327338,0.348901,0,0,1,1
45,SODAS,,1,5,0.333333,0.354579,0,0,1,1
46,bigdata,,78,5,0.463918,0.555741,0.023555,18,20,38
47,jorgeSAP,,1,0,0,0,0,0,0,0
48,leon14,,3,6,0.323741,0.359259,0.000066,2,1,3
49,ArmonicoEnFuga,,29,5,0.45,0.522963,0.029112,9,14,23
50,Poo,,2,5,0.35,0.382051,0,0,2,2
51,Fot&#243;n,,9,6,0.346154,0.389815,0.000012,2,3,5
52,pablodago,,1,0,0,0,0,0,0,0
53,newbie,,86,5,0.466321,0.553889,0.011372,17,19,36
54,Tecnicalpro,,5,5,0.367347,0.399259,0,1,2,3
55,boquita,,1,0,0,0,0,0,0,0
56,ferbar,,19,5,0.405405,0.45037,0.002274,8,7,15
57,goyo,,4,0,0,0,0,2,0,2
58,CARLOS QUINTO,,2,0,0,0,0,0,0,0
59,JMDC,,2,6,0.311419,0.336667,0,1,1,2
60,PAC,,18,5,0.412844,0.451296,0.007075,4,5,9
61,tonga73,,25,4,0.414747,0.465741,0.004924,7,9,16
62,Viruela,,14,5,0.416667,0.474259,0.009794,6,8,14
63,Cohelet8,,1,0,0,0,0,1,0,1
64,ElNegro,,3,5,0.340909,0.366481,0.000124,1,2,3
65,elrolo08,,2,5,0.344828,0.371481,0,1,1,2
66,Tanque,,6,5,0.378151,0.420741,0.001307,4,5,9
67,RusoLocoSuelto,,4,6,0.346154,0.393519,0.000058,2,3,5
68,Chumbi,,15,5,0.412844,0.470556,0.002461,6,8,14
69,Peitrick,,2,0,0,0,0,0,0,0
70,revelde,,39,5,0.434783,0.513148,0.025797,13,14,27
71,arquitecto,,1,0,0,0,0,0,0,0
72,lunensis,,3,6,0.350195,0.394074,0.000197,2,3,5
73,pistol,,1,6,0.319298,0.349817,0,0,1,1
74,alzamer,,14,5,0.393013,0.439074,0,6,6,12
75,ardilla1,,1,0,0,0,0,0,0,0
76,Morro22,,5,0,0,0,0,3,0,3
77,capi,,7,5,0.367347,0.403519,0.006069,1,3,4
78,Fulano de Tal,,3,6,0.36,0.4,0,4,2,6
79,elcipayo16,,6,4,0.351562,0.381481,0.001827,4,2,6
80,TURCABARBUDA,,2,6,0.314685,0.349074,0.000135,1,2,3
81,resero,,12,4,0.375,0.412037,0.015107,9,5,14
82,guille1978,,3,4,0.326087,0.347222,0,2,2,4
83,Bochaterow,,2,5,0.361446,0.385926,0.000255,1,1,2
84,mr. cuervo,,7,0,0,0,0,2,0,2
85,mec123,,1,4,0.327338,0.348901,0,0,1,1
