Id,Label,timeset,posteos_realizados,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree
0,mcv,,2,6,0.367521,0.407752,0,1,1,2
1,PAPU07,,71,5,0.573333,0.704264,0.200322,14,21,35
2,miguel angel,,6,0,0,0,0,2,0,2
3,Amon-Ra,,3,1,1,1,0.00011,2,1,3
4,heide,,3,1,1,1,0,1,1,2
5,CarlosLR,,1,0,0,0,0,0,0,0
6,empome,,3,0,0,0,0,2,0,2
7,elushi,,4,6,0.302817,0.353876,0.000402,1,3,4
8,lehmanbrothers,,8,6,0.390909,0.450388,0.013206,2,3,5
9,rusell007,,82,4,0.551282,0.649225,0.182616,12,15,27
10,cabeza70,,4,5,0.279221,0.306202,0.004134,2,1,3
11,GG22,,6,5,0.364407,0.405814,0.001573,2,2,4
12,TIO SIMON,,27,6,0.390909,0.465891,0.039143,6,6,12
13,quique43,,10,0,0,0,0,3,1,4
14,Leito22,,2,5,0.361345,0.394186,0,1,1,2
15,lalot,,1,0,0,0,0,1,0,1
16,Inca,,0,0,0,0,0,1,0,1
17,Matu84,,5,5,0.443299,0.487209,0.008963,3,3,6
18,JagPanzer,,3,6,0.373913,0.423256,0,1,2,3
19,alzamer,,1,1,1,1,0,0,1,1
20,SIM0N1,,5,6,0.382609,0.432576,0,0,2,2
21,Accuphase,,1,0,0,0,0,1,0,1
22,ArmonicoEnFuga,,1,0,0,0,0,0,0,0
23,davinci,,1,6,0.367521,0.407752,0,1,1,2
24,Kamei,,1,0,0,0,0,0,0,0
25,sebara,,2,0,0,0,0,0,0,0
26,Athila,,9,0,0,0,0,1,0,1
27,Chele,,1,0,0,0,0,1,0,1
28,j3bon,,1,6,0.369748,0.409848,0,0,1,1
29,blackbird,,2,6,0.367521,0.407752,0,1,1,2
30,NEW TEST,,3,7,0.282895,0.316501,0,1,1,2
31,Bebuu,,4,1,1,1,0,0,2,2
32,pipioeste22,,1,0,0,0,0,1,0,1
33,ariflaks,,4,0,0,0,0,1,0,1
34,boson,,1,0,0,0,0,0,0,0
35,Citizen,,13,0,0,0,0,7,1,8
36,hernan1974,,17,4,0.387387,0.44186,0.04013,4,4,8
37,Namber_1,,2,0,0,0,0,0,0,0
38,mr_osiris,,6,5,0.290541,0.333333,0.00011,1,2,3
39,reta71,,11,4,0.377193,0.424419,0.016901,4,3,7
40,El..Ronin,,4,5,0.358333,0.39031,0.009219,2,1,3
41,ELQUILME&#209;O,,9,5,0.438776,0.483333,0,1,3,4
42,Matraca,,3,5,0.358333,0.39031,0,1,1,2
43,Maguarnier,,2,6,0.267081,0.290698,0,1,1,2
44,MANCU,,3,0,0,0,0,0,0,0
45,ElCorredorX,,1,1,1,1,0.003512,1,1,2
46,chelo,,2,5,0.358333,0.39031,0.009438,2,1,3
47,martinargentino,,8,5,0.377193,0.436822,0.02162,2,4,6
48,flipperjeeper,,2,6,0.268293,0.291667,0,0,1,1
49,hernanml,,2,0,0,0,0,0,0,0
50,notario,,1,5,0.358333,0.39031,0,2,1,3
51,Kamikaze 1945,,3,0,0,0,0,1,0,1
52,murddock,,1,1,1,1,0,1,1,2
53,Tecnicalpro,,4,4,0.330827,0.361742,0.009658,1,2,3
54,satoonce,,1,0,0,0,0,2,0,2
55,Harry Forever,,1,1,1,1,0,0,1,1
56,isidoro999,,2,6,0.373913,0.423256,0.002744,1,2,3
57,El Calificador,,1,7,0.284768,0.320377,0,1,1,2
58,paisano,,3,5,0.288591,0.328682,0.014486,1,2,3
59,esponja,,1,5,0.252809,0.275185,0,0,1,1
60,JMDC,,2,0,0,0,0,0,0,0
61,Yops,,1,0,0,0,0,0,0,0
62,docc,,2,0,0,0,0,2,1,3
63,Fulano de Tal,,2,6,0.37069,0.411628,0.023998,4,1,5
64,ElNegro,,3,1,1,1,0,0,1,1
65,Soydelrojo01,,1,0,0,0,0,0,0,0
66,Marty,,1,7,0.275,0.301732,0,0,1,1
67,Exequiel,,1,1,1,1,0.007463,1,1,2
68,JIR,,1,0,0,0,0,1,0,1
